text,aspect,predicted_sentiment
"the menu looked great, but the food was the biggest disappointment i've had yet!",menu,positive
"the menu looked great, but the food was the biggest disappointment i've had yet!",food,negative
Pros : - Great sound for a $ 100 speaker at mid to higher levels .,sound,positive
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",Service,positive
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",dinner,neutral
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",plates,neutral
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",scallion pancakes,negative
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",beet salad,negative
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",beet s,negative
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",majority,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",dishes,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",showcasing vegetables,positive
"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",apple associates,positive
"Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche!",calamari app,neutral
"Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche!",scallop ceviche,negative
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",ambiance,positive
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",service,positive
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",food taste,negative
I recently ate Brunch there and was dismayed and dissapointed by the service.,Brunch,neutral
I recently ate Brunch there and was dismayed and dissapointed by the service.,service,negative
The servers were snobby and got mad at me when I asked if they serve by the slice.,servers,negative
The servers were snobby and got mad at me when I asked if they serve by the slice.,slice,neutral
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",corridor,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",space,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",counters,negative
