text,aspect,true_sentiment,predicted_sentiment
"the menu looked great, but the food was the biggest disappointment i've had yet!",menu,positive,neutral
"the menu looked great, but the food was the biggest disappointment i've had yet!",food,negative,positive
Pros : - Great sound for a $ 100 speaker at mid to higher levels .,sound,positive,positive
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",Service,positive,negative
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",dinner,neutral,neutral
"Service was friendly, but not terribly attentive, took 30 minutes after dinner to clear our plates, and another 20 to get our check.",plates,neutral,neutral
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",scallion pancakes,negative,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",beet salad,negative,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",beet s,negative,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",majority,neutral,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",dishes,positive,positive
"Gobo's scallion pancakes are a bit dry, and the beet salad is low on beets, but the majority of dishes, especially those showcasing vegetables, are delicious in their simplicity.",showcasing vegetables,positive,neutral
"All apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",apple associates,positive,positive
"Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche!",calamari app,neutral,positive
"Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche!",scallop ceviche,negative,positive
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",ambiance,positive,positive
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",service,positive,positive
"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",food taste,negative,positive
I recently ate Brunch there and was dismayed and dissapointed by the service.,Brunch,neutral,neutral
I recently ate Brunch there and was dismayed and dissapointed by the service.,service,negative,positive
The servers were snobby and got mad at me when I asked if they serve by the slice.,servers,negative,negative
The servers were snobby and got mad at me when I asked if they serve by the slice.,slice,neutral,neutral
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",corridor,negative,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",space,negative,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",counters,negative,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters , a great deal of mess ( stacks of bottles , cans ) and a small counter holding 12-14 entrees .",entrees,neutral,negative
Went to dinner on a Friday night and the place was packed and hot.,dinner,neutral,neutral
Went to dinner on a Friday night and the place was packed and hot.,place,negative,positive
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,positive,negative
